technique_id,technique_name,platforms,tactics,data_components_referenced,data_components_with_any_evidence,data_components_with_exact_event_evidence,data_components_source_only,component_evidence_coverage_pct,exact_event_component_coverage_pct,telemetry_evidence_status,evidence_sources
T1001,Data Obfuscation,ESXi | Linux | Windows | macOS,command-and-control,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1001.001,Junk Data,ESXi | Linux | Windows | macOS,command-and-control,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1001.002,Steganography,ESXi | Linux | Windows | macOS,command-and-control,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1001.003,Protocol or Service Impersonation,ESXi | Linux | Windows | macOS,command-and-control,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1003,OS Credential Dumping,Linux | Windows | macOS,credential-access,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1003.001,LSASS Memory,Windows,credential-access,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1003.002,Security Account Manager,Windows,credential-access,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1003.003,NTDS,Windows,credential-access,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1003.004,LSA Secrets,Windows,credential-access,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1003.005,Cached Domain Credentials,Linux | Windows,credential-access,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1003.006,DCSync,Windows,credential-access,3,3,1,2,100.0,33.333333,full_component_evidence,BOTS | EVTX
T1003.007,Proc Filesystem,Linux,credential-access,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1003.008,/etc/passwd and /etc/shadow,Linux,credential-access,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1005,Data from Local System,ESXi | Linux | Network Devices | Windows | macOS,collection,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1006,Direct Volume Access,Network Devices | Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1007,System Service Discovery,Linux | Windows | macOS,discovery,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1008,Fallback Channels,ESXi | Linux | Windows | macOS,command-and-control,2,2,1,1,100.0,50.0,full_component_evidence,BOTS | EVTX
T1010,Application Window Discovery,Linux | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,Linux | Windows | macOS,exfiltration,7,7,5,2,100.0,71.428571,full_component_evidence,BOTS | EVTX
T1011.001,Exfiltration Over Bluetooth,Linux | Windows | macOS,exfiltration,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1012,Query Registry,Windows,discovery,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1014,Rootkit,Linux | Windows | macOS,stealth,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1016,System Network Configuration Discovery,ESXi | Linux | Network Devices | Windows | macOS,discovery,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1016.001,Internet Connection Discovery,ESXi | Linux | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1016.002,Wi-Fi Discovery,Linux | Windows | macOS,discovery,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1018,Remote System Discovery,ESXi | Linux | Network Devices | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1020,Automated Exfiltration,Linux | Network Devices | Windows | macOS,exfiltration,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1020.001,Traffic Duplication,IaaS | Network Devices,exfiltration,2,2,1,1,100.0,50.0,full_component_evidence,BOTS | EVTX
T1021,Remote Services,ESXi | IaaS | Linux | Windows | macOS,lateral-movement,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1021.001,Remote Desktop Protocol,Windows,lateral-movement,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1021.002,SMB/Windows Admin Shares,Windows,lateral-movement,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1021.003,Distributed Component Object Model,Windows,lateral-movement,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1021.004,SSH,ESXi | Linux | macOS,lateral-movement,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1021.005,VNC,Linux | Windows | macOS,lateral-movement,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1021.006,Windows Remote Management,Windows,lateral-movement,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1021.007,Cloud Services,IaaS | Identity Provider | Office Suite | SaaS,lateral-movement,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1021.008,Direct Cloud VM Connections,IaaS,lateral-movement,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1025,Data from Removable Media,Linux | Windows | macOS,collection,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1027,Obfuscated Files or Information,ESXi | Linux | Network Devices | Windows | macOS,stealth,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1027.001,Binary Padding,Linux | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.002,Software Packing,Linux | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.003,Steganography,Linux | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.004,Compile After Delivery,Linux | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.005,Indicator Removal from Tools,Linux | Windows | macOS,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
