technique_id,technique_name,data_component_id,data_component_name,requirement_rows,unique_log_source_requirements,has_explicit_event_id_requirement,exact_event_evidence,any_source_evidence,best_evidence_status,best_evidence_strength,evidence_sources
T1001,Data Obfuscation,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001,Data Obfuscation,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001,Data Obfuscation,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1001.001,Junk Data,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.001,Junk Data,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.001,Junk Data,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.001,Junk Data,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1001.002,Steganography,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.002,Steganography,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.002,Steganography,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.002,Steganography,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.002,Steganography,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1001.003,Protocol or Service Impersonation,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.003,Protocol or Service Impersonation,DC0034,Process Metadata,45,45,True,False,True,source_observed,2,BOTS | EVTX
T1001.003,Protocol or Service Impersonation,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1001.003,Protocol or Service Impersonation,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1003,OS Credential Dumping,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003,OS Credential Dumping,DC0034,Process Metadata,45,45,True,False,True,source_observed,2,BOTS | EVTX
T1003,OS Credential Dumping,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003,OS Credential Dumping,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003,OS Credential Dumping,DC0071,Active Directory Object Access,2,2,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.001,LSASS Memory,DC0013,User Account Metadata,29,29,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.001,LSASS Memory,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.001,LSASS Memory,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.001,LSASS Memory,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.001,LSASS Memory,DC0063,Windows Registry Key Modification,9,9,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.002,Security Account Manager,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.002,Security Account Manager,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.002,Security Account Manager,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.002,Security Account Manager,DC0063,Windows Registry Key Modification,9,9,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.003,NTDS,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.003,NTDS,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.003,NTDS,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.003,NTDS,DC0097,Volume Creation,2,2,False,False,True,source_observed,2,BOTS | EVTX
T1003.004,LSA Secrets,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.004,LSA Secrets,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.004,LSA Secrets,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.004,LSA Secrets,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.005,Cached Domain Credentials,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.005,Cached Domain Credentials,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.005,Cached Domain Credentials,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.006,DCSync,DC0068,Active Directory Object Deletion,1,1,True,False,True,source_observed_event_unverified,1,BOTS | EVTX
T1003.006,DCSync,DC0071,Active Directory Object Access,2,2,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.006,DCSync,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1003.007,Proc Filesystem,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.007,Proc Filesystem,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.007,Proc Filesystem,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.007,Proc Filesystem,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.008,/etc/passwd and /etc/shadow,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1003.008,/etc/passwd and /etc/shadow,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1005,Data from Local System,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1005,Data from Local System,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1005,Data from Local System,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
